Title,URL
Fujitsu launches made-in-Japan next-generation CPU FUJITSU-MONAKA,[]
Artificial intelligence now beats some of the best human forecasters,[]
Whoisinspace.com/,[]
CrowdSec Source Code Leak,[]
hister,[]
Zettascale (YC S24) Is Hiring ASIC/FPGA Engineers to Build Chips for ASI,[]
LLM Classification Is Feature Engineering,[]
Vinix – A modern operating system written in V,[]
One Year of Sponsored Servo Development,[]
Show HN: Die With Me – Claude and Codex rate limits as AIM away messages,[]
I didn't sign the Fields medallists' letter,[]
"Show HN: Share your AI Setup, Learn from others",[]
Grand MS-DOS Gaming General MIDI Showdown,[]
Rate limits on GitLab.com are changing,[]
CCC invites all model citizens to 40C3,[]
Launch HN: Skillsync (YC W26) – AI chat sessions made portable across agents,[]
Nvidia announces native GPU programming in Rust,[]
Why I didn’t sign the Fields medallists’ letter,[]
"Show HN: Aclif – Agent CLI framework: one grammar, canonical names across SaaS",[]
Mastering Layout Engines in Graphviz: Dot vs. Neato vs. Twopi vs. Circo,[]
My temporary PHP fix from 2014 has nearly 20M installs. Today I'm deprecating it,[]
Ask HN: How to recover Google auth after phone stolen?,[]
The Relation Between Mathematics and Physics by Paul Dirac (1939),[]
Keys Not Included: recovering the signing keys for US driver's license barcodes,[]
GLM Built Its Own Inference Infrastructure,[]
Show HN: I built a new version of my fun spatial 3D online meeting app,[]
Better Vector Search for Long Documents: Chunking Inside Manticore Search,[]
Xiaomi Mimo 2.6 live post-training dashboard,[]
Lucasart's Afterlife,[]
Cloudflare/Security-Audit-Skill,[]
